GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Slimefun,io.github.thebusybiscuit.slimefun4.utils,InfiniteBlockGenerator,244,0,26,0,47,0,21,0,7,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,ArmorStandUtils,58,0,6,0,17,0,6,0,3,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,ChestMenuUtils,564,0,20,0,78,0,35,0,25,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,RadiationUtils,69,0,0,0,15,0,6,0,6,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,JsonUtils,13,0,2,0,3,0,2,0,1,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,HeadTexture,754,0,0,0,113,0,6,0,6,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,ChargeUtils,174,0,20,0,35,0,13,0,3,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,FireworkUtils,183,0,4,0,26,0,8,0,6,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,UnbreakingAlgorithm,66,0,6,0,9,0,8,0,5,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,NumberUtils,159,225,30,50,39,43,27,32,8,11
Slimefun,io.github.thebusybiscuit.slimefun4.utils,ColoredMaterial,630,0,6,0,19,0,8,0,5,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,ChatUtils,46,85,2,6,10,14,4,7,3,4
Slimefun,io.github.thebusybiscuit.slimefun4.utils,SlimefunUtils,961,0,228,0,207,0,138,0,24,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,PatternUtils,23,0,0,0,6,0,1,0,1,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,FileUtils,29,6,7,1,6,2,5,1,1,1
Slimefun,io.github.thebusybiscuit.slimefun4.utils,LoreBuilder,56,0,2,0,12,0,13,0,12,0
Slimefun,io.github.thebusybiscuit.slimefun4.utils,ChestMenuUtils.new ChestMenu.AdvancedMenuClickHandler() {...},18,0,6,0,3,0,6,0,3,0
Slimefun,io.github.thebusybiscuit.slimefun4.core.networks,NetworkManager,137,49,22,4,32,16,17,8,5,7
Slimefun,io.github.thebusybiscuit.slimefun4.core.services.profiler,SummaryOrderType,96,0,7,0,20,0,6,0,2,0
Slimefun,io.github.thebusybiscuit.slimefun4.core.services.profiler,SlimefunProfiler,647,0,48,0,145,0,51,0,27,0
Slimefun,io.github.thebusybiscuit.slimefun4.core.services.profiler,SlimefunThreadFactory,15,0,0,0,5,0,3,0,3,0
Slimefun,io.github.thebusybiscuit.slimefun4.core.services.profiler,PerformanceSummary,530,0,40,0,97,0,29,0,9,0
Slimefun,io.github.thebusybiscuit.slimefun4.core.services.profiler,ProfiledBlock,150,0,6,0,24,0,16,0,13,0
Slimefun,io.github.thebusybiscuit.slimefun4.core.services.profiler,PerformanceRating,105,0,6,0,18,0,7,0,4,0
Slimefun,io.github.thebusybiscuit.slimefun4.implementation.items.electric.machines,ElectricIngotPulverizer,74,0,4,0,14,0,7,0,5,0
Slimefun,io.github.thebusybiscuit.slimefun4.implementation.items.electric.machines,Refinery,20,0,0,0,6,0,4,0,4,0
Slimefun,io.github.thebusybiscuit.slimefun4.implementation.items.electric.machines,FoodComposter,114,0,0,0,16,0,4,0,4,0
Slimefun,io.github.thebusybiscuit.slimefun4.implementation.items.electric.machines,ElectricIngotFactory,14,0,0,0,4,0,3,0,3,0
Slimefun,io.github.thebusybiscuit.slimefun4.implementation.items.electric.machines,ChargingBench,127,0,20,0,27,0,15,0,5,0
Slimefun,io.github.thebusybiscuit.slimefun4.implementation.items.electric.machines,ElectricPress,483,0,2,0,49,0,7,0,6,0
Slimefun,io.github.thebusybiscuit.slimefun4.implementation.items.electric.machines,FluidPump.new SimpleBlockBreakHandler() {...},26,0,2,0,6,0,3,0,2,0
